Date,Open,High,Low,Close,Volume,Adj Close
1998-12-01,577.19,583.34998,570.38,583.31,789200000,583.31
1998-11-30,590.82001,591.25,577.19,577.19,687900000,577.19
1998-11-27,587.65002,591.27002,587.00,590.82001,256950000,590.82001
1998-11-25,585.47998,587.76001,582.89001,587.65002,583580000,587.65002
1998-11-24,587.98999,590.76001,584.83002,585.47998,766200000,585.47998
1998-11-23,574.96997,587.98999,574.63,587.98999,774100000,587.98999
1998-11-20,568.62,574.96997,568.62,574.96997,721200000,574.96997
1998-11-19,564.63,570.19,564.63,568.62,671000000,568.62
1998-11-18,560.92999,564.65997,558.73999,564.63,652510000,564.63
1998-11-17,559.53998,568.02002,556.73999,560.92999,705200000,560.92999
1998-11-16,554.26001,560.42999,554.26001,559.53998,615580000,559.53998
1998-11-13,548.46997,554.26001,548.37,554.26001,602270000,554.26001
1998-11-12,550.54999,554.14001,547.71002,548.46997,662300000,548.46997
1998-11-11,553.40002,558.69,548.76001,550.54999,715700000,550.54999
1998-11-10,553.62,557.27002,550.85999,553.40002,671300000,553.40002
1998-11-09,558.87,558.87,550.15002,553.62,592990000,553.62
1998-11-06,554.96002,559.29999,553.97998,558.87,683100000,558.87
1998-11-05,547.04999,554.96002,543.10999,554.96002,770200000,554.96002
1998-11-04,544.25,552.34003,543.88,547.04999,861100000,547.04999
1998-11-03,544.03998,546.89001,541.59998,544.25,704300000,544.25
1998-11-02,536.96997,545.62,536.96997,544.03998,753800000,544.03998
1998-10-30,531.96997,540.46997,531.96997,536.96997,785000000,536.96997
1998-10-29,523.13,532.09003,521.67999,531.96997,699400000,531.96997
1998-10-28,522.47998,525.84998,519.64001,523.13,677500000,523.13
1998-10-27,527.79999,534.14001,521.40002,522.47998,764500000,522.47998
1998-10-26,527.78003,532.84998,526.10999,527.79999,609910000,527.79999
1998-10-23,530.90997,530.90997,525.65997,527.78003,637640000,527.78003
1998-10-22,525.78003,531.87,521.37,530.90997,754900000,530.90997
1998-10-21,522.28003,527.63,520.21997,525.78003,745100000,525.78003
1998-10-20,522.40997,532.77002,520.46002,522.28003,958200000,522.28003
1998-10-19,520.95001,523.90002,518.32001,522.40997,738600000,522.40997
1998-10-16,514.17999,522.59003,514.17999,520.95001,1042200000,520.95001
1998-10-15,491.76999,517.51001,489.64001,514.17999,937600000,514.17999
1998-10-14,487.78,496.66,483.89999,491.76999,791200000,491.76999
1998-10-13,490.20001,492.17999,484.39001,487.78,733300000,487.78
1998-10-12,483.72,496.25,483.72,490.20001,691100000,490.20001
1998-10-09,471.84,483.78,468.85999,483.72,878100000,483.72
1998-10-08,476.82999,476.82999,454.92999,471.84,1114600000,471.84
1998-10-07,480.19,486.89001,470.38,476.82999,977000000,476.82999
1998-10-06,480.70999,491.16,476.45999,480.19,845700000,480.19
1998-10-05,486.48999,486.48999,468.64999,480.70999,817500000,480.70999
1998-10-02,478.75,488.60999,470.59,486.48999,902900000,486.48999
1998-10-01,493.10001,493.10001,475.64999,478.75,899700000,478.75
1998-09-30,508.91,508.91,492.50,493.10001,800100000,493.10001
1998-09-29,508.23001,512.87,504.56,508.91,760100000,508.91
1998-09-28,506.26999,514.03998,504.85001,508.23001,690500000,508.23001
1998-09-25,504.66,509.84,497.62,506.26999,736800000,506.26999
1998-09-24,515.45001,516.64001,499.54999,504.66,805900000,504.66
1998-09-23,497.66,515.45001,497.66,515.45001,899700000,515.45001
1998-09-22,497.31,501.89999,494.37,497.66,694900000,497.66
1998-09-21,495.25,498.16,481.60001,497.31,609880000,497.31
1998-09-18,494.35001,496.32999,490.54999,495.25,794700000,495.25
1998-09-17,507.98001,507.98001,493.98001,494.35001,694500000,494.35001
1998-09-16,504.73001,508.69,500.22,507.98001,797500000,507.98001
1998-09-15,501.66,504.91,497.73999,504.73001,724600000,504.73001
1998-09-14,492.98999,506.22,492.98999,501.66,714400000,501.66
1998-09-11,478.79999,492.98999,474.17001,492.98999,819100000,492.98999
1998-09-10,492.48001,492.48001,472.31,478.79999,880300000,478.79999
1998-09-09,500.22,502.63,491.51999,492.48001,704300000,492.48001
1998-09-08,477.44,500.23999,477.44,500.22,814800000,500.22
